Highest_Charting_Position,Number_of_Times_Charted,Song_Name,Streams,Artist,Artist_Followers,Song_ID,Genre,Release_Date,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration_(ms),Valence,Chord
143,42,Moonlight,5003825,XXXTENTACION,29566516,0JP9xo3adEtGSdUEISiszL,hip hop,3/16/2018,83,0.921,0.537,-5.723,0.0804,0.556,0.102,128.009,135090,0.711,A
182,6,Thinking out Loud,4995623,Ed Sheeran,83337783,34gCuhDGsG4bRPIf9bb02f,pop,6/21/2014,82,0.781,0.445,-6.061,0.0295,0.474,0.184,78.998,281560,0.591,D
2,46,Toosie Slide,4966878,Drake,56327031,127QTOFJsJQp5LbJbu3A1y,hip hop,4/3/2020,78,0.834,0.454,-9.75,0.201,0.321,0.114,81.618,247059,0.837,C#/Db
167,2,Earned It (Fifty Shades Of Grey),4929647,The Weeknd,35340069,4frLb7nWtsz2ymBE6k2GRP,hip hop,8/28/2015,69,0.659,0.291,-8.275,0.0348,0.405,0.0771,119.829,277680,0.406,D
9,46,ily (i love you baby) (feat. Emilee),4908929,Surf Mesa,132855,62aP9fBQKYKxi7PDXwcUAS,dance music,11/26/2019,81,0.674,0.774,-7.567,0.0892,0.0686,0.393,112.05,176547,0.33,B
193,1,Wonderwall,4902737,Oasis,6478565,7ygpwy2qP3NbrxVkHvUhXY,rock,1/1/1995,78,0.375,0.893,-4.097,0.0406,0.000509,0.187,174.323,258773,0.434,D
181,7,Everybody Dies In Their Nightmares,4847224,XXXTENTACION,29566516,3GVkPk8mqxz0itaAriG1L7,hip hop,8/25/2017,83,0.734,0.57,-7.066,0.133,0.847,0.112,129.953,95467,0.689,G
27,4,Bad Boy (with Young Thug),6011642,Juice WRLD,19102888,43CIWpJaJHRcI4mUSjqgc2,hip hop,1/15/2021,76,0.697,0.674,-6.326,0.0533,0.00215,0.138,81.535,157355,0.198,C#/Db
19,3,Lo Vas A Olvidar (with ROSALÍA),5963380,Billie Eilish,47061119,0psS4i5YooJrXfDnGvWRLi,pop,1/21/2021,68,0.343,0.243,-14.66,0.0777,0.721,0.0668,135.154,203464,0.032,E
152,1,Floating Through Space,5579697,"Sia, David Guetta",20528724,2AceGjiX9isUbXmMZa0Dl1,pop,2/4/2021,78,0.575,0.844,-4.89,0.072,0.00172,0.114,104.914,177801,0.277,F#/Gb
157,1,Can't Feel My Face,5479407,The Weeknd,35340069,22VdIZQfgXJea34mQxlt81,hip hop,8/28/2015,80,0.705,0.769,-5.526,0.0425,0.113,0.105,107.949,213520,0.583,A
89,2,You (with Marshmello & Vance Joy),5342938,benny blanco,804613,1GkHyypTFkUf0QQKwYoXH4,hip hop,1/29/2021,73,0.668,0.563,-6.433,0.0522,0.0493,0.119,103.116,169632,0.305,B
168,3,Call Out My Name,5233359,The Weeknd,35340069,09mEdoA6zrmBPgTEN5qXmN,hip hop,3/30/2018,80,0.461,0.593,-4.954,0.0356,0.17,0.307,134.17,228373,0.175,C#/Db
14,26,Midnight Sky,5208100,Miley Cyrus,15778531,27ycaQnQAxaPiyeg3nr2aB,pop,8/14/2020,76,0.705,0.814,-5.466,0.0346,0.00115,0.203,110,223279,0.259,E
175,1,Pressure (feat. Tove Lo),5197587,Martin Garrix,14921269,4ga4WvRNhMsIL38pkBbnIN,dance music,2/5/2021,76,0.859,0.558,-8.991,0.0902,0.659,0.124,114.978,144391,0.357,G
140,4,Can You Feel My Heart,5092250,Bring Me The Horizon,3912138,0WSa1sucoNRcEeULlZVQXj,rock,4/1/2013,77,0.15,0.859,-2.827,0.0595,0.00201,0.387,170.527,228147,0.354,E
167,2,Agua de Jamaica,5072462,Maluma,26784251,41BzKiCrKpUQHS3TP0jmdr,latin,1/28/2021,75,0.664,0.665,-3.616,0.0879,0.123,0.411,173.961,176970,0.726,A#/Bb
162,3,Mds,5046418,"Kawe, Mc Lele JP",444736,0QglpM23kl9ldvVdoYNZwF,soul,5/19/2020,72,0.885,0.561,-5.331,0.249,0.261,0.121,140.02,125143,0.644,F#/Gb
18,23,Heartless,4995578,The Weeknd,35340069,6bnF93Rx87YqUBLSgjiMU8,hip hop,3/20/2020,77,0.537,0.746,-5.507,0.15,0.0236,0.156,170.062,198267,0.252,A#/Bb
20,15,pov,4906738,Ariana Grande,67208170,3UoULw70kMsiVXxW0L3A33,pop,10/30/2020,79,0.487,0.534,-5.664,0.0555,0.36,0.1,131.798,201882,0.173,C
138,49,Be Alright,4900492,Dean Lewis,1692635,3EPXxR3ImUwfayaurPi3cm,rock,6/29/2018,80,0.553,0.586,-6.319,0.0362,0.697,0.0813,126.684,196373,0.443,B
174,3,Cry Baby (feat. DaBaby),4884711,Megan Thee Stallion,4794212,4aarlAfLKVCTxUDNgbwhjH,hip hop,11/20/2020,76,0.957,0.437,-7.882,0.359,0.00402,0.219,130.058,137984,0.616,B
47,25,Mi Cuarto,4873380,Jerry Di,149682,6fmQjRuo7XvRFCK2qex5hQ,latin,4/3/2020,76,0.854,0.525,-4.426,0.214,0.819,0.146,97.054,197587,0.63,C#/Db
99,3,Ohne Dich,5487774,"KASIMIR1441, badmómzjay, WILDBWOYS",197320,4hSJUp6k7QeHLxU32MrLIU,hip hop,1/14/2021,70,0.807,0.535,-6.519,0.349,0.191,0.125,156.013,125720,0.925,B
176,1,"Gravity (feat. Tyler, The Creator)",5136895,"Brent Faiyaz, DJ Dahi",1726216,6u3CPnFMKANYgfdiifFOiJ,hip hop,1/29/2021,76,0.539,0.615,-8.746,0.252,0.173,0.144,163.924,214693,0.493,C#/Db
55,4,Vibez,5071718,ZAYN,16655692,709F3MwiVvLD0LQXeKs5Cz,pop,1/8/2021,69,0.635,0.659,-7.499,0.116,0.242,0.105,96.855,163127,0.34,G
103,12,"All I Want - From ""High School Musical: The Musical: The Series""",5052801,Olivia Rodrigo,6313514,4Yxc55NX3tAXC2mHRAhtcW,pop,11/27/2019,76,0.376,0.43,-6.585,0.0328,0.0902,0.0912,77.599,177323,0.129,C
45,20,Daisy,5030670,Ashnikko,1248499,0AUvWawuP0ibk4SQ3sIZjk,pop,7/9/2020,76,0.834,0.663,-6.143,0.133,0.235,0.372,121.876,146523,0.774,G#/Ab
83,4,Wasted On You,4948563,Morgan Wallen,2147875,3cBsEDNhFI9E82vPj3kvi3,country,1/8/2021,76,0.505,0.657,-5.24,0.0318,0.373,0.126,196,178520,0.252,B
13,38,La Jeepeta - Remix,4942545,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",2127531,1mohfLaTJtB2RplHLQVM70,latin,4/24/2020,75,0.815,0.715,-4.65,0.207,0.3,0.091,176.007,345241,0.786,E
137,1,Los Dioses,5929507,"Anuel AA, Ozuna",18306226,73O30uMI7n6DuzBmbtO7kC,latin,1/22/2021,73,0.817,0.737,-5.453,0.102,0.046,0.092,93.985,206587,0.67,F#/Gb
132,9,Si Me Tomo Una Cerveza,5427534,"Migrantes, Alico",114348,3lCbsHaN1wCxyDzcNN2x4N,pop,11/7/2020,74,0.72,0.613,-6.899,0.0572,0.185,0.155,84.974,182199,0.857,C#/Db
90,4,Somebody’s Problem,5332437,Morgan Wallen,2147875,0SErdEdRcVX1uJCf1eTGYH,country,11/20/2020,70,0.657,0.54,-7.675,0.0287,0.662,0.123,136.97,161773,0.625,F
66,2,De Una Vez,5186567,Selena Gomez,28931149,1v3lhrZEsOcazqR2QIyyRu,pop,3/12/2021,70,0.659,0.479,-6.79,0.2,0.152,0.268,163.882,155956,0.0395,B
121,7,Way Out (feat. Big Sean),4962949,Jack Harlow,1053324,6rLi6PyWXu1rPlShuIZpj6,hip hop,12/9/2020,72,0.945,0.582,-8.357,0.0719,0.114,0.103,108.025,168906,0.907,B
42,17,Diamonds,4931163,Sam Smith,17097317,5hvwx5i67IwnCkjl9VHkNv,pop,9/17/2020,77,0.653,0.667,-6.764,0.0423,0.154,0.107,104.181,213869,0.556,A#/Bb
190,3,Dancing in My Room,4914093,347aidan,211500,6Pgmqg15yVexuOgtzuxwoX,hip hop,10/26/2020,79,0.98,0.413,-11.052,0.101,0.671,0.17,119.993,180139,0.764,G#/Ab
116,8,De Cora <3,4864544,"Rauw Alejandro, J Balvin",6096559,22Sh5dlwbERqJAq1fZk5b2,latin,11/13/2020,73,0.811,0.683,-2.028,0.241,0.46,0.128,176.037,190101,0.571,B
10,7,champagne problems,4848954,Taylor Swift,42227614,0sY6ZUTh4yoctD8VIXz339,pop,12/11/2020,75,0.462,0.24,-12.077,0.0377,0.92,0.113,171.319,244000,0.32,C
37,35,Go Crazy,4833081,"Chris Brown, Young Thug",14073083,1IIKrJVP1C9N7iPtG6eOsK,hip hop,5/8/2020,80,0.755,0.578,-8.932,0.145,0.316,0.25,94.148,176960,0.581,C
73,6,Reminds Me Of You,5942551,"Juice WRLD, The Kid LAROI",19102888,5YSHygGN9D0mID1NsVd5my,hip hop,12/8/2020,75,0.613,0.631,-6.965,0.12,0.0663,0.169,149.992,158033,0.33,E
177,1,Don't Play,5119828,"Anne-Marie, KSI, Digital Farm Animals",8153871,4I5bvu2KDsrCg0EWHIcvul,pop,1/15/2021,73,0.695,0.784,-6.564,0.0402,0.0889,0.0843,128.031,188581,0.52,F#/Gb
191,1,Buss It,4915403,Erica Banks,41551,25j0Sape7qZbq6ZPLFefTT,hip hop,6/19/2020,72,0.956,0.502,-5.995,0.213,0.0593,0.238,110.003,187000,0.795,A
41,39,Kings & Queens,4855690,Ava Max,3916979,7a53HqqArd4b9NF4XAmlbI,pop,9/18/2020,82,0.637,0.69,-4.057,0.0405,0.00786,0.124,129.857,162399,0.457,C#/Db
6,15,Lovesick Girls,4796365,BLACKPINK,23848461,4Ws314Ylb27BVsvlZOy30C,korean,10/2/2020,75,0.654,0.707,-5.661,0.0664,0.00559,0.0873,127.97,194765,0.448,F#/Gb
17,31,Caramelo,4790233,Ozuna,29238936,3gD4J3RUHy4OUuZ3qAiaiG,latin,6/11/2020,74,0.728,0.806,-3.766,0.0623,0.0531,0.153,168.084,217547,0.698,F#/Gb
67,13,Deep End,5622565,Fousheé,411262,2AlYncTpVHKwHb55F9lF6O,hip hop,6/5/2020,72,0.868,0.479,-6.687,0.445,0.703,0.102,133.928,115200,0.776,E
158,1,Sand In My Boots,5446609,Morgan Wallen,2147875,0uRrG2jRR5tuifsYIJHEao,country,1/8/2021,75,0.403,0.537,-6.628,0.031,0.59,0.112,69.877,202133,0.414,D#/Eb
168,1,865,5160123,Morgan Wallen,2147875,0sKEilrw1GrBlG6qsTCrP4,country,1/8/2021,70,0.532,0.584,-5.254,0.0248,0.723,0.101,88.003,190680,0.367,G#/Ab
53,5,7 Summers,5064504,Morgan Wallen,2147875,4obHzpwGrjoTuZh2DItEMZ,country,1/8/2021,73,0.466,0.786,-5.13,0.0328,0.417,0.125,203.903,210507,0.571,C
21,7,HACIENDO QUE ME AMAS,4935633,Bad Bunny,36177712,26QApq0cuO9brJigr0C0W4,latin,11/27/2020,78,0.584,0.411,-7.147,0.0838,0.869,0.0955,169.934,217769,0.412,A#/Bb
65,10,La Luz,4906324,"Sech, J Balvin",8766508,5zj8WNkBrEzlI5FKeYV4ol,latin,10/31/2020,70,0.665,0.697,-4.819,0.154,0.427,0.599,94.053,216747,0.556,A
17,25,The Woo (feat. 50 Cent & Roddy Ricch),4892682,Pop Smoke,6852509,1H7KnK26kc1YyellpbINEn,hip hop,7/3/2020,79,0.49,0.618,-5.655,0.104,0.0221,0.259,99.7,201600,0.286,C#/Db
188,1,More Than My Hometown,4879971,Morgan Wallen,2147875,5OELUCYgOHKFAvCERnAvfS,country,1/8/2021,75,0.62,0.869,-5.479,0.0462,0.615,0.131,126.019,216573,0.597,F#/Gb
190,1,Warning,4860714,Morgan Wallen,2147875,64SCQtbRtmO28ks1QhS3w5,country,1/8/2021,68,0.633,0.664,-5.037,0.0294,0.46,0.108,115.058,156747,0.268,A#/Bb
117,10,Recairei - Ao Vivo,4815342,Os Barões Da Pisadinha,4281787,71FrGl0XcpL3VId65tB5mg,latin,4/17/2020,69,0.582,0.937,-2.118,0.0858,0.449,0.684,168.096,166838,0.939,A#/Bb
5,19,Ice Cream (with Selena Gomez),4812765,BLACKPINK,23848461,4JUPEh2DVSXFGExu4Uxevz,korean,10/2/2020,71,0.79,0.701,-4.81,0.365,0.0317,0.0311,159.972,177813,0.91,A
22,32,Be Kind (with Halsey),4790427,Marshmello,31552500,3Z8FwOEN59mRMxDCtb8N0A,dance music,5/1/2020,80,0.63,0.633,-7.088,0.0457,0.00776,0.0541,93.995,172762,0.452,E
76,8,Fever,4769618,"Dua Lipa, Angèle",27167675,3wJVBz7gvGTwTWVAxFa6ny,pop,10/29/2020,73,0.868,0.693,-7.052,0.181,0.0597,0.106,114.999,156911,0.396,F#/Gb
141,2,Angst,5317174,Apache 207,1674348,5yUzqd3H7cmJ1no6B4uTzu,hip hop,1/1/2021,67,0.599,0.79,-4.352,0.386,0.0213,0.0778,100.119,201501,0.528,A
15,4,"no body, no crime (feat. HAIM)",4986214,Taylor Swift,42227614,3RaT22zZsxVYxxKR7TAaYF,pop,12/11/2020,68,0.546,0.613,-7.589,0.0264,0.418,0.103,79.015,215627,0.535,G
13,44,Sunday Best,4858392,Surfaces,724903,1Cv1YLb4q0RzL6pybtaMLo,jazz,1/6/2019,80,0.878,0.525,-6.832,0.0578,0.183,0.0714,112.022,158571,0.694,F
66,46,Happier,4655272,"Marshmello, Bastille",31552500,2dpaYNEQHiRxtZbfNsse99,dance music,8/17/2018,82,0.687,0.792,-2.749,0.0452,0.191,0.167,100.015,214290,0.671,F
138,13,Don't Stop Me Now - Remastered 2011,4630572,Queen,35910149,7hQJA50XrCWABAu5v6QZ4i,rock,11/10/1978,74,0.563,0.865,-5.277,0.16,0.0472,0.77,156.271,209413,0.601,F
61,39,Azul,4606011,J Balvin,29067437,2lCkncy6bIB0LTMT7kvrD1,latin,3/19/2020,77,0.843,0.836,-2.474,0.0695,0.0816,0.0532,94.018,205933,0.65,B
183,2,Basta Você Me Ligar - Ao Vivo,4580123,"Os Barões Da Pisadinha, Xand Avião",4281787,3AV1KI22k1jGMz792lDrj1,latin,5/29/2020,68,0.599,0.914,-2.415,0.0629,0.5,0.694,168.008,182977,0.831,F
49,4,Tequila Shots,4540781,Kid Cudi,5002317,30KctD1WsHKTIYczXjip5a,hip hop,12/11/2020,74,0.712,0.556,-7.214,0.0531,0.084,0.527,90.494,193293,0.22,F
27,45,Lose Control,4516053,"MEDUZA, Becky Hill, Goodboys",441714,7CHi4DtfK4heMlQaudCuHK,dance music,10/11/2019,82,0.598,0.526,-8.659,0.0415,0.129,0.14,123.935,168387,0.529,A#/Bb
68,8,I CAN'T STOP ME,4504304,TWICE,9998991,37ZtpRBkHcaq6hHy0X98zn,korean,10/26/2020,76,0.657,0.88,-3.672,0.102,0.121,0.463,150.084,205493,0.769,A#/Bb
158,5,E-GIRLS ARE RUINING MY LIFE!,4488125,"CORPSE, Savage Ga$p",1777797,7bCfHiRcfUjG0YVVNUL7Ve,hip hop,9/25/2020,77,0.614,0.937,-7.443,0.115,0.00161,0.103,84.98,105176,0.386,C#/Db
1,10,All I Want for Christmas Is You,23235257,Mariah Carey,6931357,0bYg9bo50gSsH3LtXe2SQn,hip hop,11/1/1994,65,0.336,0.627,-7.463,0.0384,0.164,0.0708,150.273,241107,0.35,G
2,8,Last Christmas,20709328,Wham!,1631876,2FRnf9qhLbvw8fu4IBXx78,rock,11/29/1984,63,0.735,0.478,-12.472,0.0293,0.189,0.355,107.682,262960,0.947,D
3,7,Santa Tell Me,16657592,Ariana Grande,67208170,0lizgQ7Qw35od7CYaoMBZb,pop,11/24/2014,61,0.525,0.621,-7.364,0.116,0.0489,0.294,191.9,204093,0.591,G
5,7,Rockin' Around The Christmas Tree,16613649,Brenda Lee,222627,2EjXfH91m7f8HiJN1yQg97,rock,10/19/1964,58,0.589,0.472,-8.749,0.0502,0.614,0.505,67.196,126267,0.898,G#/Ab
6,7,It's Beginning to Look a Lot like Christmas,15424001,Michael Bublé,4702232,5a1iz510sv2W9Dt1MvFd5R,jazz,11/9/2012,55,0.339,0.214,-11.714,0.0375,0.908,0.341,94.775,206640,0.363,E
8,7,It's the Most Wonderful Time of the Year,14582001,Andy Williams,369548,5hslUAKq9I9CG2bAulFkHN,jazz,11/24/1963,55,0.24,0.598,-8.435,0.0369,0.766,0.117,201.629,151933,0.776,G
9,7,Underneath the Tree,12266990,Kelly Clarkson,7869617,3YZE5qDV7u1ZD1gZc47ZeR,rock,10/29/2013,49,0.509,0.812,-5.439,0.0537,0.00128,0.214,159.878,229640,0.689,G#/Ab
14,6,Feliz Navidad,11664490,José Feliciano,239129,0oPdaY4dXtc3ZsaG17V972,latin,9/24/2002,49,0.513,0.831,-9.004,0.0383,0.55,0.336,148.837,182067,0.963,D
11,6,Let It Snow! Let It Snow! Let It Snow!,10884855,Dean Martin,1139096,2uFaJJtFpPDc5Pa95XzTvg,jazz,1/1/1959,54,0.451,0.24,-14.014,0.0351,0.912,0.175,134.009,117147,0.701,C#/Db
19,6,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),10787165,Frank Sinatra,4953667,4kKdvXD0ez7jp1296JmAts,jazz,11/8/1994,53,0.652,0.259,-13.336,0.0595,0.903,0.362,142.169,155453,0.836,D
